Date,Day,Weekend,Worked,Hours,Commits,Start Time,End Time,Work Summary
2024-12-21,Saturday,Yes,No,0.0,0,,,Weekend - no work
2024-12-22,Sunday,Yes,No,0.0,0,,,Weekend - no work
2024-12-23,Monday,No,No,0.0,0,,,No commits
2024-12-24,Tuesday,No,No,0.0,0,,,No commits
2024-12-25,Wednesday,No,No,0.0,0,,,No commits
2024-12-26,Thursday,No,Yes,3.5,14,00:06,01:25,Small fixes; Small fixes; Fixing extend for service users ... (+11 more commits)
2024-12-27,Friday,No,No,0.0,0,,,No commits
2024-12-28,Saturday,Yes,No,0.0,0,,,Weekend - no work
2024-12-29,Sunday,Yes,No,0.0,0,,,Weekend - no work
2024-12-30,Monday,No,No,0.0,0,,,No commits
2024-12-31,Tuesday,No,No,0.0,0,,,No commits
2025-01-01,Wednesday,No,No,0.0,0,,,No commits
2025-01-02,Thursday,No,No,0.0,0,,,No commits
2025-01-03,Friday,No,No,0.0,0,,,No commits
2025-01-04,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-01-05,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-01-06,Monday,No,No,0.0,0,,,No commits
2025-01-07,Tuesday,No,Yes,3.0,2,20:44,20:44,Add events; Add events
2025-01-08,Wednesday,No,No,0.0,0,,,No commits
2025-01-09,Thursday,No,No,0.0,0,,,No commits
2025-01-10,Friday,No,No,0.0,0,,,No commits
2025-01-11,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-01-12,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-01-13,Monday,No,No,0.0,0,,,No commits
2025-01-14,Tuesday,No,No,0.0,0,,,No commits
2025-01-15,Wednesday,No,Yes,3.5,14,21:38,23:12,Lets do migrations; Lets do migrations; Add locking and ownership features to ObjectEntity and relat ... (+11 more commits)
2025-01-16,Thursday,No,No,0.0,0,,,No commits
2025-01-17,Friday,No,No,0.0,0,,,No commits
2025-01-18,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-01-19,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-01-20,Monday,No,No,0.0,0,,,No commits
2025-01-21,Tuesday,No,No,0.0,0,,,No commits
2025-01-22,Wednesday,No,No,0.0,0,,,No commits
2025-01-23,Thursday,No,No,0.0,0,,,No commits
2025-01-24,Friday,No,No,0.0,0,,,No commits
2025-01-25,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-01-26,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-01-27,Monday,No,No,0.0,0,,,No commits
2025-01-28,Tuesday,No,No,0.0,0,,,No commits
2025-01-29,Wednesday,No,No,0.0,0,,,No commits
2025-01-30,Thursday,No,No,0.0,0,,,No commits
2025-01-31,Friday,No,No,0.0,0,,,No commits
2025-02-01,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-02-02,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-02-03,Monday,No,No,0.0,0,,,No commits
2025-02-04,Tuesday,No,Yes,3.0,8,20:00,22:45,Merge branch 'main' into documentation-ibds; Merge branch 'main' into documentation-ibds; Merge branch 'documentation-ibds' ... (+5 more commits)
2025-02-05,Wednesday,No,No,0.0,0,,,No commits
2025-02-06,Thursday,No,No,0.0,0,,,No commits
2025-02-07,Friday,No,No,0.0,0,,,No commits
2025-02-08,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-02-09,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-02-10,Monday,No,No,0.0,0,,,No commits
2025-02-11,Tuesday,No,No,0.0,0,,,No commits
2025-02-12,Wednesday,No,No,0.0,0,,,No commits
2025-02-13,Thursday,No,No,0.0,0,,,No commits
2025-02-14,Friday,No,No,0.0,0,,,No commits
2025-02-15,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-02-16,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-02-17,Monday,No,Yes,3.5,15,22:40,23:44,Create CNAME; Deploy website - based on b3c5c685904776f19e27ec6574eb607d78; Create CNAME ... (+12 more commits)
2025-02-18,Tuesday,No,Yes,3.0,2,22:15,22:15,Merge pull request #200 from ConductionNL/development; Merge pull request #200 from ConductionNL/development
2025-02-19,Wednesday,No,No,0.0,0,,,No commits
2025-02-20,Thursday,No,No,0.0,0,,,No commits
2025-02-21,Friday,No,No,0.0,0,,,No commits
2025-02-22,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-02-23,Sunday,Yes,Yes,3.4,4,17:55,21:16,Best workflow; Best workflow; Merge remote-tracking branch 'origin/development' into docum ... (+1 more commits)
2025-02-24,Monday,No,No,0.0,0,,,No commits
2025-02-25,Tuesday,No,No,0.0,0,,,No commits
2025-02-26,Wednesday,No,Yes,3.0,2,21:50,21:50,Bit of bug hunting; Bit of bug hunting
2025-02-27,Thursday,No,Yes,3.5,12,17:20,17:50,Proper property the popper; Proper property the popper; Correct function ... (+9 more commits)
2025-02-28,Friday,No,No,0.0,0,,,No commits
2025-03-01,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-03-02,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-03-03,Monday,No,No,0.0,0,,,No commits
2025-03-04,Tuesday,No,No,0.0,0,,,No commits
2025-03-05,Wednesday,No,No,0.0,0,,,No commits
2025-03-06,Thursday,No,No,0.0,0,,,No commits
2025-03-07,Friday,No,No,0.0,0,,,No commits
2025-03-08,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-03-09,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-03-10,Monday,No,No,0.0,0,,,No commits
2025-03-11,Tuesday,No,No,0.0,0,,,No commits
2025-03-12,Wednesday,No,No,0.0,0,,,No commits
2025-03-13,Thursday,No,Yes,3.0,9,19:42,21:04,Deploy website - based on 6c4a089720eb349631cd3d06ee6e6fac94; Missed some; Missed some ... (+6 more commits)
2025-03-14,Friday,No,Yes,3.0,4,00:25,00:46,Add lock; Add lock; Update to docusarus 3 ... (+1 more commits)
2025-03-15,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-03-16,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-03-17,Monday,No,No,0.0,0,,,No commits
2025-03-18,Tuesday,No,Yes,3.0,8,21:38,21:26,deploy: ddfbc96971a490b910b94a8d7cfffef00512e821; Lets update the object docs; Lets update the object docs ... (+5 more commits)
2025-03-19,Wednesday,No,Yes,3.0,2,21:43,21:43,Test; Test
2025-03-20,Thursday,No,No,0.0,0,,,No commits
2025-03-21,Friday,No,No,0.0,0,,,No commits
2025-03-22,Saturday,Yes,Yes,5.3,6,17:40,22:59,Set owner and application; Set owner and application; Let quickly fix soft deleted ... (+3 more commits)
2025-03-23,Sunday,Yes,Yes,3.0,4,21:00,21:18,Cleanop the view dialog; Cleanop the view dialog; Fix code mirror in the object view ... (+1 more commits)
2025-03-24,Monday,No,No,0.0,0,,,No commits
2025-03-25,Tuesday,No,No,0.0,0,,,No commits
2025-03-26,Wednesday,No,No,0.0,0,,,No commits
2025-03-27,Thursday,No,No,0.0,0,,,No commits
2025-03-28,Friday,No,No,0.0,0,,,No commits
2025-03-29,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-03-30,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-03-31,Monday,No,Yes,3.0,3,22:26,20:27,deploy: 31e353eb916c5f0e9c0be8ab9982f8b3111e7503; Add audit trail view description; Add audit trail view description
2025-04-01,Tuesday,No,No,0.0,0,,,No commits
2025-04-02,Wednesday,No,Yes,3.0,9,21:39,23:50,Making the file understandable; Making the file understandable; Cleanu-up ... (+6 more commits)
2025-04-03,Thursday,No,No,0.0,0,,,No commits
2025-04-04,Friday,No,Yes,3.0,6,19:37,22:03,More fixes; More fixes; Merge branch 'code-refactor/ObjectService' of https://github ... (+3 more commits)
2025-04-05,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-04-06,Sunday,Yes,Yes,3.5,18,21:24,23:41,Merge branch 'code-refactor/ObjectService' of https://github; Merge branch 'code-refactor/ObjectService' of https://github; Fixing the audit trails ... (+15 more commits)
2025-04-07,Monday,No,No,0.0,0,,,No commits
2025-04-08,Tuesday,No,Yes,3.8,8,17:57,21:44,Fixed getting proper relations; Fixed getting proper relations; Lets use a notecard is noting can be found ... (+5 more commits)
2025-04-09,Wednesday,No,No,0.0,0,,,No commits
2025-04-10,Thursday,No,No,0.0,0,,,No commits
2025-04-11,Friday,No,No,0.0,0,,,No commits
2025-04-12,Saturday,Yes,Yes,3.0,6,17:06,18:49,Fix uses and used; Fix uses and used; Bit of data cleanup ... (+3 more commits)
2025-04-13,Sunday,Yes,Yes,3.0,4,20:04,22:03,Extend register and schema; Extend register and schema; Dealing with extend as string ... (+1 more commits)
2025-04-14,Monday,No,No,0.0,0,,,No commits
2025-04-15,Tuesday,No,No,0.0,0,,,No commits
2025-04-16,Wednesday,No,No,0.0,0,,,No commits
2025-04-17,Thursday,No,Yes,3.0,4,17:12,17:12,Merge branch 'feature/REGISTERS-4/configuraties' of https://; Merge branch 'feature/REGISTERS-4/configuraties' of https://; Small fixes on new file controller and service ... (+1 more commits)
2025-04-18,Friday,No,No,0.0,0,,,No commits
2025-04-19,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-04-20,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-04-21,Monday,No,No,0.0,0,,,No commits
2025-04-22,Tuesday,No,Yes,3.0,8,20:40,21:00,Lets do a build; Lets do a build; Fix for totals ... (+5 more commits)
2025-04-23,Wednesday,No,No,0.0,0,,,No commits
2025-04-24,Thursday,No,No,0.0,0,,,No commits
2025-04-25,Friday,No,No,0.0,0,,,No commits
2025-04-26,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-04-27,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-04-28,Monday,No,No,0.0,0,,,No commits
2025-04-29,Tuesday,No,No,0.0,0,,,No commits
2025-04-30,Wednesday,No,Yes,6.5,31,19:13,01:21,Dashboarding first draft; Dashboarding first draft; Let replace the RegisterIndex ... (+28 more commits)
2025-05-01,Thursday,No,Yes,4.3,4,17:19,21:36,Lets do a bit more linting; Lets do a bit more linting; Merge pull request #353 from ConductionNL/feature/REGISTERS- ... (+1 more commits)
2025-05-02,Friday,No,No,0.0,0,,,No commits
2025-05-03,Saturday,Yes,Yes,6.0,4,17:16,23:40,Prevent deleting if schema's have objects; Prevent deleting if schema's have objects; Search sidebar graphics ... (+1 more commits)
2025-05-04,Sunday,Yes,Yes,6.0,10,17:54,00:46,Merge remote-tracking branch 'origin/development' into featu; Merge remote-tracking branch 'origin/development' into featu; First setup of the schema details page ... (+7 more commits)
2025-05-05,Monday,No,Yes,3.5,12,23:06,00:54,Php styling fixes; Php styling fixes; No more npm linting errors ... (+9 more commits)
2025-05-06,Tuesday,No,Yes,3.4,5,19:13,22:34,Merge pull request #362 from ConductionNL/feature/REGISTERS-; Merge pull request #362 from ConductionNL/feature/REGISTERS-; Merge branch 'development' into feature/REGISTERS-136/dashbo ... (+2 more commits)
2025-05-07,Wednesday,No,No,0.0,0,,,No commits
2025-05-08,Thursday,No,No,0.0,0,,,No commits
2025-05-09,Friday,No,No,0.0,0,,,No commits
2025-05-10,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-05-11,Sunday,Yes,Yes,3.5,12,22:12,00:29,Add last log to the object documentation; Add last log to the object documentation; First testing and fixing on the import functionality ... (+9 more commits)
2025-05-12,Monday,No,No,0.0,0,,,No commits
2025-05-13,Tuesday,No,No,0.0,0,,,No commits
2025-05-14,Wednesday,No,No,0.0,0,,,No commits
2025-05-15,Thursday,No,No,0.0,0,,,No commits
2025-05-16,Friday,No,No,0.0,0,,,No commits
2025-05-17,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-05-18,Sunday,Yes,Yes,3.0,4,22:09,23:15,Correcting the function name; Correcting the function name; More fixes on the export ... (+1 more commits)
2025-05-19,Monday,No,Yes,3.0,4,21:10,21:10,Merge branch 'hotfix/zuiddrecht' of https://github.com/Condu; Merge branch 'hotfix/zuiddrecht' of https://github.com/Condu; Lets allow softValidated objects ... (+1 more commits)
2025-05-20,Tuesday,No,No,0.0,0,,,No commits
2025-05-21,Wednesday,No,No,0.0,0,,,No commits
2025-05-22,Thursday,No,No,0.0,0,,,No commits
2025-05-23,Friday,No,No,0.0,0,,,No commits
2025-05-24,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-05-25,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-05-26,Monday,No,Yes,4.1,12,21:14,00:49,Suporting baseencoded files; Suporting baseencoded files; Introdue special search _published that shows only published ... (+9 more commits)
2025-05-27,Tuesday,No,No,0.0,0,,,No commits
2025-05-28,Wednesday,No,Yes,3.0,4,21:25,22:16,First draft of delete and logs menu items; First draft of delete and logs menu items; Merge remote-tracking branch 'origin/development' into hotfi ... (+1 more commits)
2025-05-29,Thursday,No,No,0.0,0,,,No commits
2025-05-30,Friday,No,No,0.0,0,,,No commits
2025-05-31,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-06-01,Sunday,Yes,Yes,3.0,9,23:18,00:44,Merge branch 'hotfix/zuiddrecht' into development; Merge branch 'hotfix/zuiddrecht' into development; Merge remote-tracking branch 'origin/development' into hotfi ... (+6 more commits)
2025-06-02,Monday,No,No,0.0,0,,,No commits
2025-06-03,Tuesday,No,No,0.0,0,,,No commits
2025-06-04,Wednesday,No,No,0.0,0,,,No commits
2025-06-05,Thursday,No,No,0.0,0,,,No commits
2025-06-06,Friday,No,No,0.0,0,,,No commits
2025-06-07,Saturday,Yes,Yes,5.9,10,18:16,00:09,Bug fixing on deleted and auditrtrail pages; Bug fixing on deleted and auditrtrail pages; Fixin the audit trail page ... (+7 more commits)
2025-06-08,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-06-09,Monday,No,No,0.0,0,,,No commits
2025-06-10,Tuesday,No,No,0.0,0,,,No commits
2025-06-11,Wednesday,No,No,0.0,0,,,No commits
2025-06-12,Thursday,No,No,0.0,0,,,No commits
2025-06-13,Friday,No,Yes,3.0,2,01:25,01:25,Lets grap files directly from the database; Lets grap files directly from the database
2025-06-14,Saturday,Yes,Yes,3.0,2,20:27,20:27,First draft of the new search objects function; First draft of the new search objects function
2025-06-15,Sunday,Yes,Yes,3.0,8,21:50,23:29,Async thall the faceted stuf; Async thall the faceted stuf; Lets do some final tweaks and add facetable to give the ui a ... (+5 more commits)
2025-06-16,Monday,No,No,0.0,0,,,No commits
2025-06-17,Tuesday,No,No,0.0,0,,,No commits
2025-06-18,Wednesday,No,No,0.0,0,,,No commits
2025-06-19,Thursday,No,No,0.0,0,,,No commits
2025-06-20,Friday,No,No,0.0,0,,,No commits
2025-06-21,Saturday,Yes,Yes,3.0,4,17:01,18:00,Get the models styles in one line (delete multiple needs a c; Get the models styles in one line (delete multiple needs a c; Working on the user friendlyness ... (+1 more commits)
2025-06-22,Sunday,Yes,Yes,3.0,2,21:48,21:48,Updating to object for readabillity and perpering rights imp; Updating to object for readabillity and perpering rights imp
2025-06-23,Monday,No,Yes,4.0,4,21:15,01:17,Merge pull request #452 from ConductionNL/feature/merging-ob; Merge pull request #452 from ConductionNL/feature/merging-ob; WIP on merge modal ... (+1 more commits)
2025-06-24,Tuesday,No,No,0.0,0,,,No commits
2025-06-25,Wednesday,No,No,0.0,0,,,No commits
2025-06-26,Thursday,No,No,0.0,0,,,No commits
2025-06-27,Friday,No,No,0.0,0,,,No commits
2025-06-28,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-06-29,Sunday,Yes,Yes,3.0,4,17:28,17:31,Merge pull request #460 from ConductionNL/feature/facet-exam; Merge pull request #460 from ConductionNL/feature/facet-exam; Refactor publisheing and depublishing files ... (+1 more commits)
2025-06-30,Monday,No,Yes,4.1,8,21:11,01:15,Merge pull request #469 from ConductionNL/feature/facet-exam; Merge pull request #469 from ConductionNL/feature/facet-exam; Add textarea and markdown support ... (+5 more commits)
2025-07-01,Tuesday,No,No,0.0,0,,,No commits
2025-07-02,Wednesday,No,No,0.0,0,,,No commits
2025-07-03,Thursday,No,No,0.0,0,,,No commits
2025-07-04,Friday,No,No,0.0,0,,,No commits
2025-07-05,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-07-06,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-07-07,Monday,No,No,0.0,0,,,No commits
2025-07-08,Tuesday,No,Yes,3.0,6,23:20,23:27,Merge pull request #476 from ConductionNL/feature/facet-exam; Merge pull request #476 from ConductionNL/feature/facet-exam; Merge remote-tracking branch 'origin/development' into featu ... (+3 more commits)
2025-07-09,Wednesday,No,Yes,3.0,2,23:05,23:05,Better return values on import; Better return values on import
2025-07-10,Thursday,No,No,0.0,0,,,No commits
2025-07-11,Friday,No,No,0.0,0,,,No commits
2025-07-12,Saturday,Yes,Yes,3.0,2,00:58,00:58,Lets go search trails; Lets go search trails
2025-07-13,Sunday,Yes,Yes,3.0,4,23:31,23:58,Faceting  fixes; Faceting  fixes; Lets add facets to the searchbar ... (+1 more commits)
2025-07-14,Monday,No,No,0.0,0,,,No commits
2025-07-15,Tuesday,No,No,0.0,0,,,No commits
2025-07-16,Wednesday,No,No,0.0,0,,,No commits
2025-07-17,Thursday,No,No,0.0,0,,,No commits
2025-07-18,Friday,No,No,0.0,0,,,No commits
2025-07-19,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-07-20,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-07-21,Monday,No,Yes,3.0,3,21:28,00:28,Lets start testing; Adding basic multitenancy; Add testing
2025-07-22,Tuesday,No,Yes,3.0,1,17:11,17:11,Fix for double delete
2025-07-23,Wednesday,No,No,0.0,0,,,No commits
2025-07-24,Thursday,No,No,0.0,0,,,No commits
2025-07-25,Friday,No,No,0.0,0,,,No commits
2025-07-26,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-07-27,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-07-28,Monday,No,No,0.0,0,,,No commits
2025-07-29,Tuesday,No,No,0.0,0,,,No commits
2025-07-30,Wednesday,No,No,0.0,0,,,No commits
2025-07-31,Thursday,No,No,0.0,0,,,No commits
2025-08-01,Friday,No,No,0.0,0,,,No commits
2025-08-02,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-08-03,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-08-04,Monday,No,No,0.0,0,,,No commits
2025-08-05,Tuesday,No,No,0.0,0,,,No commits
2025-08-06,Wednesday,No,No,0.0,0,,,No commits
2025-08-07,Thursday,No,No,0.0,0,,,No commits
2025-08-08,Friday,No,No,0.0,0,,,No commits
2025-08-09,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-08-10,Sunday,Yes,Yes,3.0,1,22:28,22:28,Fixing the bulks
2025-08-11,Monday,No,Yes,3.0,3,20:11,20:13,Merge pull request #525 from ConductionNL/hotfix/bulkcreatio; Merge remote-tracking branch 'origin/development' into hotfi; Fixes on the bulk save
2025-08-12,Tuesday,No,Yes,3.0,1,00:13,00:13,Adding the settingspage
2025-08-13,Wednesday,No,No,0.0,0,,,No commits
2025-08-14,Thursday,No,No,0.0,0,,,No commits
2025-08-15,Friday,No,No,0.0,0,,,No commits
2025-08-16,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-08-17,Sunday,Yes,Yes,3.0,3,21:21,23:49,Merge pull request #534 from ConductionNL/hotfix/settingspag; Trying to fix audit trails and setting schema and register p; Better not found errors for missing registers and schemas
2025-08-18,Monday,No,Yes,3.0,2,17:04,17:04,Merge pull request #536 from ConductionNL/hotfix/settingspag; Add security and table settings to properties
2025-08-19,Tuesday,No,Yes,3.0,2,23:48,23:50,Merge pull request #538 from ConductionNL/hotfix/settingspag; Lets speedup the import
2025-08-20,Wednesday,No,No,0.0,0,,,No commits
2025-08-21,Thursday,No,No,0.0,0,,,No commits
2025-08-22,Friday,No,Yes,3.0,1,20:42,20:42,Merge remote-tracking branch 'origin/development' into hotfi
2025-08-23,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-08-24,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-08-25,Monday,No,Yes,3.0,4,18:00,18:30,Merge pull request #554 from ConductionNL/hotfix/settingspag; Third performance update; Second performance update ... (+1 more commits)
2025-08-26,Tuesday,No,No,0.0,0,,,No commits
2025-08-27,Wednesday,No,No,0.0,0,,,No commits
2025-08-28,Thursday,No,Yes,6.0,3,17:16,01:51,Fixing the bulk import; Hotfix: metadata in object when bulk importing; Hotfix on migration
2025-08-29,Friday,No,No,0.0,0,,,No commits
2025-08-30,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-08-31,Sunday,Yes,No,0.0,0,,,Weekend - no work
2025-09-01,Monday,No,Yes,4.5,5,18:06,22:35,Merge pull request #565 from ConductionNL/feature/migrating-; Hotfix: migration; Merge pull request #564 from ConductionNL/feature/migrating- ... (+2 more commits)
2025-09-02,Tuesday,No,No,0.0,0,,,No commits
2025-09-03,Wednesday,No,No,0.0,0,,,No commits
2025-09-04,Thursday,No,Yes,3.0,2,18:48,18:49,Merge pull request #579 from ConductionNL/feature/migrating-; Hotfix: Cashin
2025-09-05,Friday,No,No,0.0,0,,,No commits
2025-09-06,Saturday,Yes,No,0.0,0,,,Weekend - no work
2025-09-07,Sunday,Yes,Yes,3.0,2,23:06,23:07,Merge pull request #581 from ConductionNL/feature/migrating-; Migration and service hotvix
